name,prefecture,city,url,mola_star,lat,lng,has_penguin,penguin_source_url,penguin_checked_at,penguin_status,has_dolphin,has_sealion,has_orca,has_jellyfish,animal_checked_at,is_closed,closed_at
átoa（アトア）,兵庫県,神戸市,https://atoa-kobe.jp/,0,34.683244,135.1936099,false,https://atoa-kobe.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
みなとやま水族館,兵庫県,神戸市,https://minatoyama.jp/,0,34.6932379,135.1943764,false,https://minatoyama.jp/,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
姫路市立水族館,兵庫県,姫路市,https://www.city.himeji.lg.jp/aqua/,0,34.8226563,134.6763377,true,https://www.city.himeji.lg.jp/aqua/,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
城崎マリンワールド,兵庫県,豊岡市,http://marineworld.hiyoriyama.co.jp/,0,35.6557822,134.8240505,true,http://marineworld.hiyoriyama.co.jp/,2026/2/26,unknown,true,true,false,false,2026-03-05,FALSE,
アクア東条,兵庫県,加東市,https://www.hyoturi.or.jp/aqua/,0,34.817126,135.5615474,false,https://www.hyoturi.or.jp/aqua/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
淡路じゃのひれアウトドアリゾート,兵庫県,南あわじ市,http://janohire.co.jp/,0,34.2945545,134.7798281,false,http://janohire.co.jp/,2026/2/26,unknown,true,false,false,false,2026-03-04,FALSE,
金魚のふるさと 郡山金魚資料館,奈良県,大和郡山市,https://www.kingyoen.com/,0,34.6496181,135.7829497,false,https://www.kingyoen.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
和歌山県立自然博物館,和歌山県,海南市,https://www.shizenhaku.wakayama-c.ed.jp/,0,34.1586779,135.1920762,false,https://www.shizenhaku.wakayama-c.ed.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
京都大学白浜水族館,和歌山県,白浜町,http://www.seto.kyoto-u.ac.jp/aquarium/,0,33.693,135.3428,false,http://www.seto.kyoto-u.ac.jp/aquarium/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
アドベンチャーワールド,和歌山県,白浜町,https://www.aws-s.com/,0,33.6658997,135.3724345,true,https://www.aws-s.com/,2026/2/26,unknown,true,false,false,false,2026-03-04,FALSE,
串本海中公園,和歌山県,串本町,http://www.kushimoto.co.jp/,0,33.4761,135.773,false,http://www.kushimoto.co.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
すさみ町立エビとカニの水族館,和歌山県,すさみ町,http://www.ebikani-aquarium.com/,0,33.5507649,135.4946824,false,http://www.ebikani-aquarium.com/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
太地町立くじらの博物館,和歌山県,太地町,http://www.kujirakan.jp/,0,33.6018725,135.9457777,unknown,http://www.kujirakan.jp/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
